timesteps,episode_reward,episode_length
1544,-16.124146,193
2400,-62.402732,300
2400,-53.171434,300
2400,-55.810889,300
2400,-55.481943,300
2400,-61.61475,300
2400,-55.987631,300
2400,-65.810986,300
3944,-61.104539,300
4800,-58.334526,300
4800,-42.417969,300
4800,-57.573311,300
4800,-44.650132,300
4800,-58.858261,300
4800,-62.774474,300
4800,-63.657961,300
6344,-36.882551,300
7200,-58.836745,300
7200,-46.035133,300
7200,-30.276377,300
7200,-27.236289,300
7200,-62.669756,300
7200,-59.036209,300
7200,-46.21372,300
8744,-72.941832,300
9600,-51.004897,300
9600,-52.612075,300
9600,-51.912851,300
9600,-60.115284,300
9600,-57.765556,300
9600,-57.580715,300
9600,-70.118231,300
11144,-74.057827,300
12000,-52.87774,300
12000,-55.142471,300
12000,-51.837662,300
12000,-42.692207,300
12000,-56.550399,300
12000,-45.976595,300
12000,-57.592825,300
13544,-81.379984,300
14400,-48.925287,300
14400,-35.306555,300
14400,-34.795099,300
14400,-37.44611,300
14400,-48.93869,300
14400,-77.494146,300
14400,-32.081243,300
15944,-77.805011,300
16800,-54.076006,300
16800,-71.409158,300
16800,-60.568498,300
16800,-65.669924,300
16800,-32.644737,300
16800,-86.211793,300
16800,-52.901661,300
17504,-17.819514,88
18344,-65.53465,300
19200,-55.459727,300
19200,-65.640405,300
19200,-59.439948,300
19200,-51.151971,300
19200,-81.147882,300
19200,-45.933863,300
19904,-79.358342,300
20744,-62.54339,300
21600,-76.731921,300
21600,-45.031808,300
21600,-78.371983,300
21600,-53.55703,300
21600,-80.84982,300
21600,-50.799746,300
22304,-50.772186,300
23144,-65.885913,300
24000,-92.719319,300
24000,-63.00511,300
24000,-56.139595,300
24000,-58.55278,300
24000,-86.534857,300
24000,-65.311851,300
24704,-80.689336,300
25544,-56.667422,300
26400,-76.55225,300
26400,-36.799891,300
26400,-50.203274,300
26400,-42.035669,300
26400,-76.822671,300
26400,-62.658309,300
27104,-81.475688,300
27944,-74.496029,300
28800,-68.562383,300
28800,-44.090632,300
28800,-75.418909,300
28800,-46.228457,300
28800,-85.637357,300
28800,-65.841715,300
29504,-53.090029,300
30344,-77.926733,300
31200,-68.712774,300
31200,-51.678986,300
31200,-62.138517,300
31200,-68.693563,300
31200,-81.453828,300
31200,-36.350312,300
31904,-89.252546,300
32744,-37.755981,300
33600,-46.594458,300
33600,-68.767109,300
33600,-66.052265,300
33600,-56.535446,300
33600,-34.360626,300
33600,-67.772009,300
34304,-39.060311,300
35144,-53.96305,300
36000,-57.418915,300
36000,-67.278693,300
36000,-68.088252,300
36000,-57.852153,300
36000,-73.735827,300
36000,-56.587279,300
36704,-61.560621,300
37544,-50.94696,300
38400,-67.063495,300
38400,-66.968396,300
38400,-38.34986,300
38400,-70.24777,300
38400,-74.959349,300
38400,-62.333535,300
39104,-62.770669,300
39944,-65.326048,300
40800,-70.078643,300
40800,-40.739448,300
40800,-46.72087,300
40800,-69.483248,300
40800,-79.333486,300
40800,-63.317681,300
41504,-30.168658,300
42344,-76.754812,300
43200,-38.85945,300
43200,-65.941597,300
43200,-75.77637,300
43200,-26.5792,300
43200,-66.113536,300
43200,-53.555069,300
43904,-65.173445,300
44744,-48.613609,300
45600,-75.234379,300
45600,-44.056456,300
45600,-35.538228,300
45600,-65.25145,300
45600,-77.95366,300
45600,-44.95059,300
46304,-75.351885,300
47144,-32.629574,300
48000,-58.191254,300
48000,-34.263358,300
48000,-77.243044,300
48000,-56.218322,300
48000,-69.891102,300
48000,-69.720728,300
48704,-51.438822,300
49544,-74.998881,300
50400,-69.992076,300
50400,-47.933101,300
50400,-26.380113,300
50400,-41.207341,300
50400,-81.819049,300
50400,-57.65503,300
51104,-59.357012,300
51944,-35.986081,300
52800,-31.021666,300
52800,-48.733842,300
52800,-33.793002,300
52800,-78.173434,300
52800,-42.90812,300
52800,-41.781633,300
53504,-53.546826,300
54344,-72.06559,300
55200,-79.91464,300
55200,-44.792781,300
55200,-37.638388,300
55200,-75.968603,300
55200,-61.46128,300
55200,-65.615461,300
55904,-60.891488,300
56744,-36.18818,300
57600,-26.663518,300
57600,-37.915797,300
57600,-36.706365,300
57600,-57.144803,300
57600,-47.71469,300
57600,-51.764209,300
58304,-54.701468,300
59144,-75.637334,300
60000,-43.737162,300
60000,-66.700451,300
60000,-63.120791,300
60000,-33.660907,300
60000,-25.785,300
60000,-34.430685,300
60704,-42.734711,300
61544,-79.969411,300
62400,-48.036459,300
62400,-64.260569,300
62400,-30.934126,300
62400,-76.687217,300
62400,-48.856777,300
62400,-72.743431,300
63104,-55.394352,300
63944,-26.438297,300
64800,-76.986146,300
64800,-65.287922,300
64800,-49.265223,300
64800,-29.341437,300
64800,-60.958875,300
64800,-66.64786,300
65504,-40.370828,300
66344,-46.355178,300
67200,-23.543734,300
67200,-56.14264,300
67200,-44.975803,300
67200,-26.700207,300
67200,-75.659881,300
67200,-28.010427,300
67904,-50.276854,300
68744,-57.996833,300
69040,-19.754325,142
69600,-43.495462,300
69600,-66.183822,300
69600,-29.800158,300
69600,-67.643516,300
69600,-76.925808,300
69600,-65.086134,300
71144,-35.06479,300
71440,-65.224195,300
72000,-30.280575,300
72000,-59.157768,300
72000,-58.355766,300
72000,-32.269909,300
72000,-37.081979,300
72000,-59.504384,300
73544,-74.216672,300
73840,-51.714905,300
74400,-39.631777,300
74400,-75.904842,300
74400,-74.198803,300
74400,-37.210345,300
74400,-44.215495,300
74400,-34.023315,300
75944,-65.597209,300
76240,-31.714525,300
76800,-39.2387,300
76800,-63.246734,300
76800,-34.498461,300
76800,-34.991457,300
76800,-43.137186,300
76800,-51.615555,300
78344,-42.417268,300
78640,-54.428587,300
79200,-53.660987,300
79200,-74.565751,300
79200,-53.360174,300
79200,-32.855369,300
79200,-51.115478,300
79200,-64.798353,300
80744,-72.609953,300
81040,-44.490801,300
81600,-65.944921,300
81600,-66.783666,300
81600,-53.692674,300
81600,-55.147382,300
81600,-64.371906,300
81600,-40.774434,300
83144,-65.606949,300
83440,-52.634972,300
84000,-43.131276,300
84000,-50.345775,300
84000,-35.74077,300
84000,-24.421905,300
84000,-36.809732,300
84000,-55.724603,300
85544,-73.592645,300
85840,-49.050423,300
86400,-30.113163,300
86400,-78.790862,300
86400,-56.922781,300
86400,-20.430271,300
86400,-59.990727,300
86400,-60.077032,300
87944,-54.91533,300
88240,-33.680627,300
88800,-47.802095,300
88800,-45.881139,300
88800,-31.719564,300
88800,-27.298363,300
88800,-72.883014,300
88800,-30.910339,300
90344,-77.075935,300
90640,-72.461733,300
91200,-28.365466,300
91200,-29.539999,300
91200,-51.737954,300
91200,-55.199891,300
91200,-48.872196,300
91200,-71.107609,300
92744,-60.355354,300
93040,-71.998944,300
93600,-29.491792,300
93600,-64.362011,300
93600,-33.523096,300
93600,-68.230665,300
93600,-65.769144,300
93600,-43.841415,300
95144,-28.118682,300
95440,-41.997093,300
96000,-56.062062,300
96000,-27.338502,300
96000,-43.236348,300
96000,-50.991898,300
96000,-50.083613,300
96000,-35.686174,300
97544,-62.01316,300
97840,-31.759817,300
98400,-52.760085,300
98400,-77.098594,300
98400,-85.995556,300
98400,-60.224975,300
98400,-48.032283,300
98400,-65.203237,300
99944,-76.102772,300
100240,-21.255071,300
100800,-49.06732,300
100800,-57.45336,300
100800,-26.825711,300
100800,-52.795306,300
100800,-43.6274,300
100800,-46.564591,300
102344,-41.390017,300
102640,-38.847246,300
103200,-26.179245,300
103200,-44.989091,300
103200,-33.462478,300
103200,-40.505655,300
103200,-54.49833,300
103200,-29.27311,300
104744,-21.781491,300
105040,-30.817138,300
105600,-36.985623,300
105600,-40.250821,300
105600,-34.350841,300
105600,-55.589526,300
105600,-59.921977,300
105600,-28.397501,300
106880,-21.475435,160
107144,-71.317701,300
107440,-35.365917,300
108000,-61.719705,300
108000,-57.818463,300
108000,-37.68674,300
108000,-63.246903,300
108000,-45.905435,300
109280,-57.704152,300
109544,-30.398404,300
109840,-51.087607,300
110400,-25.280262,300
110400,-55.37372,300
110400,-40.324447,300
110400,-38.317174,300
110400,-27.791303,300
111680,-45.960196,300
111944,-27.38872,300
112240,-71.755823,300
112800,-47.521747,300
112800,-31.146127,300
112800,-48.432361,300
112800,-43.468178,300
112800,-47.396703,300
114080,-52.303005,300
114344,-29.912883,300
114640,-67.980291,300
115200,-56.255669,300
115200,-52.19391,300
115200,-48.639748,300
115200,-32.05547,300
115200,-39.215809,300
116480,-39.318756,300
116744,-63.046177,300
117040,-67.376948,300
117600,-28.086064,300
117600,-47.081108,300
117600,-52.996682,300
117600,-46.88325,300
117600,-47.641025,300
118880,-39.097784,300
119144,-48.987164,300
119440,-38.500452,300
119936,-24.63477,292
120000,-55.926213,300
120000,-73.706383,300
120000,-42.677536,300
120000,-57.386849,300
121280,-54.231498,300
121544,-19.026993,300
121840,-36.080954,300
122336,-34.122709,300
122400,-27.54143,300
122400,-40.845072,300
122400,-33.283006,300
122400,-75.387963,300
123680,-58.696608,300
123944,-30.901596,300
124240,-50.519045,300
124736,-35.100676,300
124800,-48.751438,300
124800,-51.831095,300
124800,-53.612875,300
124800,-47.642876,300
126080,-46.77566,300
126344,-45.967888,300
126640,-69.788142,300
127136,-59.084245,300
127200,-64.409147,300
127200,-46.999229,300
127200,-27.799912,300
127200,-16.792514,300
128480,-51.589912,300
128744,-32.352154,300
129040,-20.839609,300
129536,-66.241521,300
129600,-45.015693,300
129600,-40.227662,300
129600,-44.842723,300
129600,-46.57713,300
130880,-43.597865,300
131144,-53.535415,300
131440,-41.517688,300
131936,-38.263127,300
132000,-47.162477,300
132000,-18.071657,300
132000,-53.31666,300
132000,-20.144763,300
133280,-43.708794,300
133544,-52.732108,300
133840,-31.190109,300
134336,-54.341209,300
134400,-50.457929,300
134400,-30.151634,300
134400,-68.201419,300
134400,-33.060742,300
135680,-17.475325,300
135944,-34.696854,300
136240,-66.869414,300
136736,-60.665952,300
136800,-48.926783,300
136800,-20.368736,300
136800,-63.280865,300
136800,-36.446379,300
138080,-23.099288,300
138344,-44.112851,300
138640,-24.695955,300
139136,-69.281587,300
139200,-31.71136,300
139200,-22.124047,300
139200,-68.840861,300
139200,-67.357378,300
140480,-25.286901,300
140744,-54.855975,300
